Frekvens;Kanal A;Kanal B
(ms);(V);(V)

0,00000000;6,51144200;8,03857000
0,01000000;6,51144200;8,03857000
0,02000000;6,51144200;8,03857000
0,03000000;6,51144200;8,03857000
0,04000000;6,51144200;8,03857000
0,05000000;6,51144200;8,03857000
0,06000000;6,51144200;8,03857000
0,07000000;6,51144200;8,03857000
0,08000000;6,51144200;8,03857000
0,09000000;6,51144200;8,03857000
0,10000000;6,59941000;8,03857000
0,11000000;6,59941000;8,03857000
0,12000000;6,59941000;8,03857000
0,13000000;6,59941000;8,03857000
0,14000000;6,59941000;8,03857000
0,15000000;6,59941000;8,03857000
0,16000000;6,59941000;7,95121800
0,17000000;6,59941000;8,03857000
0,18000000;6,51144200;7,95121800
0,19000000;6,59941000;8,03857000
0,19999999;6,59941000;7,95121800
0,20999999;6,59941000;7,95121800
0,21999999;6,59941000;7,95121800
0,22999999;6,59941000;8,03857000
0,23999999;6,59941000;7,95121800
0,24999999;6,59941000;7,95121800
0,25999999;6,59941000;7,95121800
0,26999999;6,59941000;7,95121800
0,27999999;6,59941000;7,95121800
0,28999999;6,59941000;7,95121800
0,29999999;6,59941000;7,95121800
0,30999999;6,59941000;7,95121800
0,31999999;6,59941000;7,95121800
0,32999999;6,59941000;7,95121800
0,33999999;6,59941000;7,95121800
0,34999999;6,59941000;7,86386600
0,35999999;6,59941000;7,95121800
0,36999999;6,59941000;7,86386600
0,37999999;6,59941000;7,95121800
0,38999999;6,59941000;7,95121800
0,39999999;6,59941000;7,86386600
0,40999999;6,59941000;7,86386600
0,41999999;6,59941000;7,86386600
0,42999999;6,68737700;7,86386600
0,43999999;6,59941000;7,86386600
0,44999999;6,59941000;7,86386600
0,45999999;6,68737700;7,86386600
0,46999999;6,59941000;7,86386600
0,47999999;6,68737700;7,86386600
0,48999999;6,59941000;7,86386600
0,49999999;6,68737700;7,86386600
0,50999999;6,68737700;7,86386600
0,51999999;6,68737700;7,86386600
0,52999999;6,59941000;7,86386600
0,53999999;6,68737700;7,86386600
0,54999999;6,68737700;7,77651300
0,55999999;6,68737700;7,77651300
0,56999999;6,68737700;7,77651300
0,57999999;6,68737700;7,77651300
0,58999999;6,59941000;7,77651300
0,59999998;6,68737700;7,77651300
0,60999998;6,77534400;7,77651300
0,61999998;6,68737700;7,77651300
0,62999998;6,68737700;7,77651300
0,63999998;6,68737700;7,77651300
0,64999998;6,68737700;7,77651300
0,65999998;6,68737700;7,68916100
0,66999998;6,68737700;7,77651300
0,67999998;6,68737700;7,77651300
0,68999998;6,68737700;7,68916100
0,69999998;6,68737700;7,68916100
0,70999998;6,68737700;7,68916100
0,71999998;6,68737700;7,68916100
0,72999998;6,68737700;7,68916100
0,73999998;6,68737700;7,68916100
0,74999998;6,77534400;7,68916100
0,75999998;6,77534400;7,68916100
0,76999998;6,77534400;7,68916100
0,77999998;6,68737700;7,68916100
0,78999998;6,77534400;7,60180900
0,79999998;6,77534400;7,60180900
0,80999998;6,77534400;7,68916100
0,81999998;6,68737700;7,68916100
0,82999998;6,77534400;7,60180900
0,83999998;6,77534400;7,60180900
0,84999998;6,77534400;7,60180900
0,85999998;6,77534400;7,60180900
0,86999998;6,77534400;7,60180900
0,87999998;6,77534400;7,60180900
0,88999998;6,77534400;7,60180900
0,89999998;6,77534400;7,60180900
0,90999998;6,77534400;7,60180900
0,91999998;6,77534400;7,51445600
0,92999998;6,77534400;7,60180900
0,93999998;6,77534400;7,51445600
0,94999998;6,77534400;7,51445600
0,95999998;6,77534400;7,51445600
0,96999998;6,77534400;7,51445600
0,97999998;6,77534400;7,51445600
0,98999997;6,77534400;7,51445600
0,99999997;6,77534400;7,51445600
1,00999997;6,77534400;7,42710400
1,01999997;6,77534400;7,51445600
1,02999997;6,77534400;7,51445600
1,03999997;6,77534400;7,51445600
1,04999997;6,86331200;7,42710400
1,05999997;6,77534400;7,42710400
1,06999997;6,86331200;7,42710400
1,07999997;6,77534400;7,42710400
1,08999997;6,86331200;7,42710400
1,09999997;6,86331200;7,42710400
1,10999997;6,86331200;7,42710400
1,11999997;6,86331200;7,42710400
1,12999997;6,86331200;7,33975100
1,13999997;6,86331200;7,33975100
1,14999997;6,86331200;7,42710400
1,15999997;6,86331200;7,33975100
1,16999997;6,86331200;7,33975100
1,17999997;6,86331200;7,33975100
1,18999997;6,86331200;7,33975100
1,19999997;6,86331200;7,33975100
1,20999997;6,86331200;7,33975100
1,21999997;6,86331200;7,25239900
1,22999997;6,86331200;7,25239900
1,23999997;6,86331200;7,25239900
1,24999997;6,86331200;7,25239900
